market_id,title,outcome,probability,implied_odds,volume,kelly_%,suggested_bet,return_on_1k
567621...,Will China invade Taiwan by end of 2026?,No,0.9255,1.08,23356220,67.1,$67,80.5
558938...,Will Argentina win the 2026 FIFA World Cup?,No,0.9175,1.09,20523616,60.6,$61,89.9
569373...,Will Paloma Valencia win the 2026 Colombian presidential elect...,No,0.9135,1.09,1417423,57.8,$58,94.7
558940...,Will Portugal win the 2026 FIFA World Cup?,No,0.9125,1.1,22642030,57.1,$57,95.9
559658...,Will Kamala Harris win the 2028 Democratic presidential nomina...,No,0.9125,1.1,11697590,57.1,$57,95.9
558937...,Will Brazil win the 2026 FIFA World Cup?,No,0.9115,1.1,21042984,56.5,$56,97.1
559653...,Will Alexandria Ocasio-Cortez win the 2028 Democratic presiden...,No,0.9115,1.1,12993162,56.5,$56,97.1
558935...,Will England win the 2026 FIFA World Cup?,No,0.8875,1.13,19198227,44.4,$44,126.8
560317...,"Putin out as President of Russia by December 31, 2026?",No,0.885,1.13,4270273,43.5,$43,129.9
601825...,Will Renan Santos win the 2026 Brazilian presidential election...,No,0.8805,1.14,5670238,41.8,$42,135.7
2169995...,"MicroStrategy sells any Bitcoin by May 31, 2026?",No,0.875,1.14,5040407,40.0,$40,142.9
568116...,Will Trump be impeached by end of 2026?,No,0.87,1.15,709150,38.5,$38,149.4
564194...,Will the Cleveland Cavaliers win the NBA Eastern Conference Fi...,No,0.865,1.16,856908,37.0,$37,156.1
564195...,Will the New York Knicks win the NBA Eastern Conference Finals...,Yes,0.865,1.16,1220999,37.0,$37,156.1
561234...,Will Marco Rubio win the 2028 US Presidential Election?,No,0.8635,1.16,9973871,36.6,$37,158.1
553866...,Will the San Antonio Spurs win the 2026 NBA Finals?,No,0.8495,1.18,29787049,33.2,$33,177.2
569343...,Will Iván Cepeda Castro win the 1st round of the 2026 Colombia...,Yes,0.845,1.18,623718,32.3,$32,183.4
567689...,Zelenskyy out as Ukraine president by end of 2026?,No,0.845,1.18,2145269,32.3,$32,183.4
569344...,Will Abelardo de la Espriella win the 1st round of the 2026 Co...,No,0.8445,1.18,1177700,32.2,$32,184.1
561230...,Will Gavin Newsom win the 2028 US Presidential Election?,No,0.8385,1.19,16519457,31.0,$31,192.6
558934...,Will Spain win the 2026 FIFA World Cup?,No,0.8255,1.21,23774815,28.7,$29,211.4
558936...,Will France win the 2026 FIFA World Cup?,No,0.8225,1.22,29649646,28.2,$28,215.8
553849...,Will the Montreal Canadiens win the 2026 NHL Stanley Cup?,No,0.8155,1.23,3013606,27.1,$27,226.2
562831...,"2026 Balance of Power: R Senate, R House",No,0.815,1.23,1408630,27.0,$27,227.0
553828...,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,No,0.812,1.23,14958194,26.6,$27,231.5
561229...,Will JD Vance win the 2028 US Presidential Election?,No,0.8105,1.23,12222845,26.4,$26,233.8
553858...,Will the New York Knicks win the 2026 NBA Finals?,No,0.81,1.23,15533469,26.3,$26,234.6
562802...,Will the Democratic Party control the House after the 2026 Mid...,Yes,0.805,1.24,3564617,25.6,$26,242.2
562803...,Will the Republican Party control the House after the 2026 Mid...,No,0.805,1.24,2981398,25.6,$26,242.2
824952...,"MicroStrategy sells any Bitcoin by December 31, 2026?",Yes,0.805,1.24,1456517,25.6,$26,242.2
564210...,Will the Oklahoma City Thunder win the NBA Western Conference ...,Yes,0.785,1.27,1653882,23.3,$23,273.9
564218...,Will the San Antonio Spurs win the NBA Western Conference Fina...,No,0.776,1.29,1826744,22.3,$22,288.7
561975...,Will Marco Rubio win the 2028 Republican presidential nominati...,No,0.7735,1.29,8810682,22.1,$22,292.8
559652...,Will Gavin Newsom win the 2028 Democratic presidential nominat...,No,0.7585,1.32,25456724,20.7,$21,318.4
601826...,Will Flávio Bolsonaro win the 2026 Brazilian presidential elec...,No,0.7225,1.38,5938321,18.0,$18,384.1
597967...,"Starmer out by June 30, 2026?",No,0.715,1.4,4428620,17.5,$18,398.6
666655...,"Starmer out by December 31, 2026?",Yes,0.715,1.4,2698602,17.5,$18,398.6
553824...,Will the Carolina Hurricanes win the 2026 NHL Stanley Cup?,No,0.695,1.44,1110863,16.4,$16,438.8
